Country,Population_2022,Population_2023,Change,Region,UN Statistical Subregion
India,"1,417,173,173","1,428,627,663",+0.81%,Asia,Southern Asia
China,"1,425,887,337","1,425,671,352",−0.02%,Asia,Eastern Asia
United States,"338,289,857","339,996,564",+0.50%,Americas,Northern America
Indonesia,"275,501,339","277,534,123",+0.74%,Asia,South-eastern Asia
Pakistan,"235,824,862","240,485,658",+1.98%,Asia,Southern Asia
Nigeria,"218,541,212","223,804,632",+2.41%,Africa,Western Africa
Brazil,"215,313,498","216,422,446",+0.52%,Americas,South America
Bangladesh,"171,186,373","172,954,319",+1.03%,Asia,Southern Asia
Russia,"144,713,314","144,444,359",−0.19%,Europe,Eastern Europe
Mexico,"127,504,126","128,455,567",+0.75%,Americas,Central America
Ethiopia,"123,379,925","126,527,060",+2.55%,Africa,Eastern Africa
Japan,"123,951,692","123,294,513",−0.53%,Asia,Eastern Asia
Philippines,"115,559,009","117,337,368",+1.54%,Asia,South-eastern Asia
Egypt,"110,990,103","112,716,599",+1.56%,Africa,Northern Africa
DR Congo,"99,010,212","102,262,809",+3.29%,Africa,Middle Africa
Vietnam,"98,186,856","98,858,950",+0.68%,Asia,South-eastern Asia
Iran,"88,550,570","89,172,767",+0.70%,Asia,Southern Asia
Turkey,"85,341,241","85,816,199",+0.56%,Asia,Western Asia
Germany,"83,369,843","83,294,633",−0.09%,Europe,Western Europe
Thailand,"71,697,030","71,801,279",+0.15%,Asia,South-eastern Asia
['United Kingdom'],"67,508,936","67,736,802",+0.34%,Europe,Northern Europe
Tanzania,"65,497,748","67,438,106",+2.96%,Africa,Eastern Africa
France,"64,626,628","64,756,584",+0.20%,Europe,Western Europe
South Africa,"59,893,886","60,414,495",+0.87%,Africa,Southern Africa
Italy,"59,037,474","58,870,763",−0.28%,Europe,Southern Europe
Kenya,"54,027,487","55,100,587",+1.99%,Africa,Eastern Africa
Myanmar,"54,179,306","54,577,997",+0.74%,Asia,South-eastern Asia
Colombia,"51,874,024","52,085,168",+0.41%,Americas,South America
South Korea,"51,815,810","51,784,059",−0.06%,Asia,Eastern Asia
Uganda,"47,249,585","48,582,334",+2.82%,Africa,Eastern Africa
Sudan,"46,874,204","48,109,006",+2.63%,Africa,Northern Africa
Spain,"47,558,630","47,519,628",−0.08%,Europe,Southern Europe
